"Glaciological.Mass.Balance"
" "
"ANNUAL_BALANCE = Annual mass balance of glacier divided by the area of the glacier in mm water equivalent (mm w.e.)"
"Informations about INVESTIGATOR, SPONS_AGENCY and REMARKS as reported to the WGMS"
" "
"When using the data, cite the World Glacier Monitoring Service (WGMS 2015, and earlier reports)"
"and/or the original investigators and sponsoring agencies according to the available meta-information."
"WGMS (2015, and earlier reports): Global Glacier Change Bulletin No. 1 (2012-2013). Zemp, M., Gärtner-Roer, I., Nussbaumer, S.U., Hüsler, F., Machguth, H., Mölg, N., Paul, F., and Hoelzle, M. (eds.), ICSU(WDS)/ IUGG(IACS)/ UNEP/ UNESCO/ WMO, World Glacier Monitoring Service, Zurich, Switzerland, 230 pp., publication based on database version: doi:10.5904/wgms-fog-2015-11."
" "
"Note that this file contains only a minimal set of data fields."
"Full information on available attributes can be found on the WGMS website: http://www.wgms.ch/downloads/WGMS_AttributeDescription.pdf"
"And can be ordered by email: wgms@geo.uzh.ch"
"  "
"PU";"NAME";"WGMS_ID";"LATITUDE";"LONGITUDE";"GEOREG1";"GEOREG2";"SURVEY_YEAR";"REFERENCE_YEAR";"WINTER_BALANCE";"SUMMER_BALANCE";"ANNUAL_BALANCE";"ELA";"AAR";"INVESTIGATOR";"SPONS_AGENCY";"REFERENCE";"REMARKS";"GEO.REGION_CODE"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1991;1990;1309;-1662;-353;"4215";55;"Kamnyanskiy G. (SANIGMI)";"SANIGMI: Midasian Hydrometeorological Research Institute SANIGMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1992;1991;1630;-1208;422;"4085";77;"Kamnyanskiy G. (SANIGMI)";"SANIGMI: Midasian Hydrometeorological Research Institute SANIGMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1993;1992;1658;-1209;449;"4095";76;"Kamnyanskiy G. (SANIGMI)";"SANIGMI: Midasian Hydrometeorological Research Institute SANIGMI";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1994;1993;1580;-2193;-613;"4245";49;"Kamnyanskiy G. (GLAVGIDROMET)";"GLAVGIDROMET: Main Administration of Hydrometeorology (GLAVGIDROMET), Cabinet of Ministers";"Barandun and others (in review); Journal of Glaciology";"re-analysed data based on raw data published by Pertziger (1996)";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1995;1994;NA;NA;-880;"4260";NA;"Kamnyanskiy G. (GLAVGIDROMET)";"GLAVGIDROMET: Main Administration of Hydrometeorology (GLAVGIDROMET), Cabinet of Ministers";"Kamnyansky, 2001";"";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1996;1995;NA;NA;-450;"4230";NA;"Kamnyanskiy G. (GLAVGIDROMET)";"GLAVGIDROMET: Main Administration of Hydrometeorology (GLAVGIDROMET), Cabinet of Ministers";"Kamnyansky, 2001";"";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";1998;1997;NA;NA;100;"4130";NA;"Kamnyanskiy G. (GLAVGIDROMET)";"GLAVGIDROMET: Main Administration of Hydrometeorology (GLAVGIDROMET), Cabinet of Ministers";"Kamnyansky, 2001";"";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";2012;2011;1204;-1806;-601;"4265";43;"Barandun M. (DGUF)";"DGUF: Department of Geosciences, University of Fribourg";"Barandun and others (in review); Journal of Glaciology";"";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";2013;2012;1222;-1471;-249;"4225";52;"Barandun M. (DGUF)";"DGUF: Department of Geosciences, University of Fribourg";"Barandun and others (in review); Journal of Glaciology";"";"ASC"
"KG";"ABRAMOV";732;39.62;71.56;"Asia, Central";"Hissar Alay";2014;2013;1234;-1900;-665;"4245";47;"Barandun M. (DGUF)";"DGUF: Department of Geosciences, University of Fribourg";"Barandun and others (in review); Journal of Glaciology";"";"ASC"
